Four Digit,Previous Edition,Current Year,Course (Shaded by author), 2025 Pages ," Fl, PC, Em, H pgf ",NOTES, Santucci Title: ,CFP,CPA, EA OTRP , ERPA , CDFA ,CIMA CPWA RMA,IAR,IAR #,$ PDF or Exam Only,$ Print,$ per PDF CPE,Annual Update (Launch),Exam Changes?,Subs Updates, CFP Board # , EA # , ERPA # ,CFP CE  Calc,CPA CPE Calc,CFP Words,CPA words,Rev Q,Exam Q,Min. No. Exam Q,IAR Words,IAR Q,CFP  Subj,CPA  Subj,TX Subject Code,Previous CFP Cr ,Previous CPA Cr , Previous EA OTRP ERP Cr  , Previous CDFA Cr  , Notes ,Notes, ,,,,,,,,
1001,100121,100125,CFP Board Ethics,,,, exam 75% ,2,,,,,"2, 2",,,30,na,,4/1/2021,New,,248718,,,,,,,12,,,,,,,,,,,,,"4/1/21: New edition launched .8/4/20: edited q 5 see notepqad doc in course folder. There were six steps in the FP process, now there are 7. Q 11: Sring 2019: made edits to presenation per Board redline doc with changes to about ten slides. 7/6/17-changed update date to 7/1/17 all docs.  10/2/16 11am: changed 100116 on sale to  $29/$39, and 100216 at $39/44. 7/23/16: Brion edits done, uploaded.  Word counts: I-III: 9,330; I-IV: 1678; I-Conflict of Int: 19560; I-Disclosure /Guide: 21591. ",,,,,,,,,
1002,100221,,CFP Board Ethics Workshop ID (beginning 2/22/2021) ,,,,,2,,,,,,,,15,na,,,,,249034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1908,190824,190825,Social Security Medicare & Government Pensions,,"F, E ",,,13.5,,,,,,,,95,115,,6/9/25,Yes,,257144,,,13.60,,122400,,,68,,,,,,,,,,,,"4/7/21: 2021 edition does no have answer sheet or eval. 1/1/19: incr cr, redued exam",,,,,,,,,
1936,193619,193623,What Advisors Should Know About the Psych. of Investing,,F ,,,7,,,,,,,,69,109,,10/25/22,yes,,257148,,,7.31,,65828,,,35,,,,,,,,,,,,"1/1/19: new edition, incr cfp cr, reduced exam. 12/10/18: Q 16 A changed to Analytical and made the correct answer instead of C.  8/21/16: edited online exam to match current 2015 ed. Q# 4, 21 fixed, and q 31 and 38 edited (changes made to the Word 1936_15 doc. PDF corrected and uploaded also.",,,,,,,,,
1943,194320,194324,What Advisors Should Know About Divorce,,F ,,,11.5,,,,11.5,,,,79,119,,2024,Yes,,257150,,,11.64,,104784,,,58,,,,,,,,,,,,"4/29/20: eXAM q 53 CORRECT = b, NOT c PER LAW CHANGE. 12/30/19 launched 194320 .1/1/19: incr cfp, cdfa cr2017 Edits to Q 4, 9, 19, 27, and 90",,,,,,,,,
1951,195120,195124,The M Word: The Money Talk Every Family Needs to Have About Wealth and Their Financial Future ,,,195123 deactivated 3/14/24,   ,7.5,,,,7.5,,,,69,89,,2/28/24,New,,323406,,,5.00,,45039,69552,7.728,38,,,,,,,,,,,,"1/1/19: same cr, reduced exam.",,,,,,,,,
1953,195320,195320,Women and Divorce: Financial Aspects Volume I ,,F ,195324 admin created by mistake,,3.5,,,,3.5,,,,39,59,,7/3/20,No,,222013,,,3.73,,33561,,,18,,,,,,,,,,,,"1/1/19: same cr, reduced exam.  6/2/16:edited exam q 22 and 34 on Word, PDF (2) and Web",,,,,,,,,
1954,195419,195419,Women and Divorce: Financial Aspects Volume II ,,F ,,,5.5,,,,5.5,,,,59,79,,1/1/19,New,,222014,,,5.92,,53298,,,28,,,,,,,,,,,,"1/1/19: same cr, reduced exam.  6/3/16: Q 5 answer changed to C, not A. Question also edited.",,,,,,,,,
1955,195519,195524,Child Custody and Support Course ,,,,,9,,,,9,,,,79,111,,12/7/23,yes,,245562,,,10.24,,92135.52,,,45,,,,,,,,,,,,"1/1/19: same cr, reduced exam. 1/1/18: New course",,,,,,,,,
1956,195622,195625,Advising Clients Divorcing After 50,,,, 3 yr cycle ,9,,,,9,,,,79,109,,2/26/25,Yes,,245563,,,9.42,,84818,,,45,,,,,,,,,,,,"5/15/25 Q38 had wrong correct answer. Import file was correct. 6/9/22: 5th Edition about 21 pages longer = 9%. Adjusted word count +9%. No change needed to credit. 1/1/19: same cr, reduced exam. 1/1/18: New course",,,,,,,,,
1957,195721,195724,Executor's Guide,,,,,11,,,, ,,,,89,119,,11/5/24,Yes,,245564,,,11.26,,101321,,,55,,,,,,,,,,,,"4/20/21: Q 8, 17, 30 edited; Q 14 replaced. 1/1/19: same cr, reduced exam. 1/1/18: New course",,,,,,,,,
1958,195822,195824,Essential Guide to Divorce for Advisors,,"F, E ",,,14,,,,14,,,,99,139,,6/6/24,Yes,,257422,,,14.43,,129843,,,70,,,,,,,,,,,,1/1/19 new course,,,,,,,,,
1959,195922,195922,Goals-Based Investing,,"F, E ",2023 sales: Winn,,5.5,,,,,,,,59,85,,2/7/22,,,299751,,,5.60,,50400,,,30,,,,,,,,,,,,,,,,,,,,,
2902,290224,290225,199A Pass-Through Deduction,, F , 938.0 ,,, 3.0 , 3.0 ,,,,,, 35 , 47 , 12 ,3/25/25,Edits,,na,FWKK0-T-00699-25-S,na,2.60,3.35,23371,19829,11,20,,,,,,,,,,,,2/19/21: added new para to top of p 11 per d barral. 7/28/20: Qu 14 revised.,,,,,,,,,
2914,291424,291425,"Affordable Care Act Tax Provisions (Author: ""Health Care Reform ACA...."")",,, 349.0 ,,, 5.0 , 5.0 ,,,,,, 49 , 64 , 10 ,3/10/25,Edits,,na,FWKK0-T-00684-25-S,na,   ,5.09, ,23522,24,43,,,,,,,,,,,,"4/13/21: Covid updates to text and exam.7/11/18: Q 26 edited - added ""less than"" 133% . 4/5/18-Updated to reflect inflation adj chgs. exam also updated.2018: numerous edits from changes not made in 2017. 2017: two q eliminated by author. numerous edits, mostly ""2017""",,,,,,,,,
2921,292123,292124,Affordable Care Act: Employer Mandate,,, 120.0 ,,, 3.0 , 3.0 ,,,,,, 35 , 47 , 12 ,1/23/24,copy,,na,FWKK0-T-00593-24-S,na,,3.61, ,21154,9,25,,,,,,,,,,,,4-5-18: Updated course.2 to reflect infaltion adj chgs.018: Reloaded exam questions and eliminated even-numbered author's q (out of 50) ,,,,,,,,,
2924,292423-2,292424,Annual Tax Season Update-2025 (2024 taxes) (not AFTR),, F ," 3,176.0 ",,, 9.0 , 9.0 ,,,,,, 69 , 87 , 8 ,1/24/24,copy,,na,FWKK0-U-00595-24-S,na,   ,9.04, ,57393,27,45,,,,,,,,,,,,1/24/24: Increase CE to 9 from 8 and re-registered with IRS (originally reg at 8 CE). ,,,,,,,,,
2901,290124,290125,Annuities     , 137.0 , F ," 7,970.0 ",, 5.0 , 7.0 ,,, 7.0 ,,,, 59 , 74 , 8 ,1/14/25,No,,309990,, ,5.01,7.06,45102,38572,30,45,,,,Inv, Specialized Knowledge ,, ,,,,,"2020: Exam Q reduced to 45, author's q bank = 129 q. see 290118-Author-exam-Qs-used. 8/22/16: reviewer edit, p 48 to ""6%""",,,,,,,,,
2916,291624,291625,Earned Income Credit,, F , 297.0 ,, -  , 4.0 , 4.0 ,,,,,, 45 , 57 , 11 ,3/14/25,Edits,,na,FWKK0-T-00677-25-S,na,,4.29, ,18593,20,40,,,,,,,,,,,,3/14/22: Q8 correct answ is B. 5/19/21: Author edits to p.2 chart and footnotes. 12/26/18: Ch 3 answe and expla # 4 and 5 re4placed.4/4/18: inflation adjust update and exam q 1,,,,,,,,,
2919,291924,291925,Earned Income Tax Credit: Due Diligence,,, 95.0 ,, -  , 3.0 , 3.0 ,,,,,, 35 , 47 , 12 ,3/14/25,Edits,,na,FWKK0-T-00678-25-S,na,,3.02, ,14567,10,28,,,,,,,,,,,,Exam Q changes: minor edits,,,,,,,,,
2913,291324,291325,Education Tax Benefits ,, F ," 1,620.0 ",, 3.5 , 5.0 , 5.0 ,,,,,, 49 , 64 , 10 ,3/14/25,edits,,298395,FWKK0-T-00679-25-S,na,3.83,5.48,34450,27973,25,39,,,,,,,,,,,,"8/23/21: aUTHOR UPDATED ON PAGE 54. 7/22/20: para added to page 1 of Ch 2 and 40 q reduced to 39 (found an old Q from 2017 that needed to be eliminated)2/3/20: Q 5 changed 2019 to 2020 - only change to exam for 2020.6/4/18: edited Q5 per paul, eliminated $ from answer choices on Q38. 4/14/18: Q 3 taken from 2017 per Paul  says it is ok) to make 40 questions Vs 39",,,,,,,,,
2903,29024,290325,Estate Tax Planning , 80.0 , F ," 3,670.0 ",, 3.0 , 4.0 , 4.0 ,   , 4.0 ,,,, 45 , 57 , 11 ,1/23/25,Yes,,298398,FWKK0-T-00653-25-S,na,3.00,4.64,26959,23090,15,41,,,,"EP, T",Taxes,03,,,,,,"4/26/22: discovered that the 2022 editon still had 2021 content. per customer Barbara Jolliffe. Gave her the updated course to take next cycle.3/20/18-corrected type in exam Q 12,13,16,30,32: ""$15,000"" not $154,000"" 2/1/18-reduced cpa cr to 4 from 4.5 irs unchanged.5-Pilot Tests (2011): 4.8. ",,,,,,,,,
2917-2, ,291724,Federal Income Tax Changes 2024,, F ,   ,, 4.5 , 6.0 , 6.0 ,, 6.0 ,"6, 2",,, 54 , 69 , 9 ,1/11/24,Edits,,321695,FWKK0-U-00574-24-S,,4.81,6.33,43328,36997,20,40,,,,,,,,,,,7/1/24: updated to IWI/CIMA,2/3/23: updated with Secure Act: add'l chapter and 5 more exam q. ,,,,,,,,,
2917,,291725,"Federal Income Tax Changes 2025 (Shorter version, same 30 Q exam)",,,,, 2.5 , 3.0 , 3.0 ,, 3.0 , ,,, 35 , 47 ,,1/23/25,Edits,,333440,FWKK0-U-00654-25-S,,2.64,4.22,23742,21309,10,40,,,,,,,,,,,,,,,,,,,,,
